Year,Bananas,"Cassava, fresh","Coffee, green",Tea leaves,avg_temperature,Agrifood Systems Waste Disposal,Burning - Crop residues,Crop Residues,Drained organic soils,Drained organic soils (CO2),Drained organic soils (N2O),Energy,Enteric Fermentation,Fires in humid tropical forests,Fires in organic soils,Food Household Consumption,Food Packaging,Food Processing,Food Retail,Food Transport,Forest fires,Forestland,IPPU,Manure Management,Manure applied to Soils,Manure left on Pasture,Net Forest conversion,On-farm energy use,Other,Pesticides Manufacturing,Rice Cultivation,Savanna fires,Synthetic Fertilizers,Waste
1984,25414.8,14429.0,408.4,2201.9,0.268235294117647,,12.4017,23.290960000000002,,,,2861.101633333333,2576.6755,,,,,,,,,,383.77476666666666,75.76098571428572,39.2297,717.14664,,,1.8139,,24.551800000000004,,71.973,31.4921
1985,21785.0,15953.5,293.3,2202.1,0.21105882352941177,,11.53638,27.270320000000005,,,,2952.8359333333333,2973.4430000000007,,,,,,,,,,357.07666666666665,95.02871428571429,51.49757999999999,822.15282,,,1.5984,,30.1511,,74.45895,32.71635
1986,20055.0,14809.9,377.1,2567.3,0.20526470588235293,,12.55098,33.01592,,,,1843.586,3084.4163000000003,,,,,,,,,,339.59883333333335,110.6276,63.393119999999996,855.00912,,,1.62,,26.600000000000005,,57.296575000000004,34.01305
1987,21574.1,14153.2,258.0,2564.0,0.45144117647058823,,12.01956,22.588720000000002,,,,1612.359333333333,3164.7178999999996,,,,,,,,,,354.8835666666667,100.73728571428572,54.678960000000004,880.0663199999999,,,2.027,,19.95,,68.0912,35.30635
1988,13551.4,12472.6,385.2,2500.0,0.30320588235294116,,11.1303,29.685580000000005,,,,925.5583999999999,3282.4932000000003,,,,,,,,,,431.8317333333334,105.44095714285716,57.573040000000006,916.6147000000001,,,1.5772,,15.507799999999998,,61.098625,36.5869
1989,11948.3,15771.5,385.7,1751.4,0.05102941176470588,,11.4114,28.40878,,,,3135.234233333333,3406.5955,,,,,,,,,,440.30063333333334,110.01038571428572,60.3288,953.4504000000001,,,2.3592,,15.0024,,50.383750000000006,37.87675
1990,21100.4,16438.6,481.9,2071.4,0.5401764705882353,656.1344799999999,11.44596,25.940319999999996,1338.1111,1285.5351,35.116800000000005,5862.268616666667,3537.7201999999997,477.4317,0.0,11.079016666666666,,,79.82591428571428,44.8014,527.9158199999999,-169.917,525.38346,114.9746142857143,63.36120000000001,993.32912,51287.1809,0.10103333333333335,403.44423333333333,2.389,14.6832,888.8478600000001,24.9127,928.9343000000001
1991,20000.0,16220.0,396.8,2142.9,0.3481470588235294,667.44918,12.99846,32.21792000000001,1338.1111,1285.5351,35.116800000000005,5722.160983333332,3511.295,477.4317,0.0,10.462916666666667,,,82.73034285714286,46.09761666666666,527.9158199999999,-169.917,500.46840000000003,108.06515714285715,57.892239999999994,987.9771999999999,51287.1809,0.11053333333333333,449.24263333333334,0.44353333333333333,13.300000000000002,888.8478600000001,16.60405,957.78682
1992,18888.9,13633.3,314.0,2259.3,0.0413235294117647,680.04334,17.363819999999997,33.93096,1338.1111,1285.5351,35.116800000000005,5432.601716666667,3515.3800000000006,477.4317,0.0,11.098766666666668,,,85.38075714285716,47.15218333333333,527.9158199999999,-169.917,503.96378000000004,104.06862857142858,54.657680000000006,990.4776000000002,51287.1809,0.11035,480.9844,2.2137333333333333,19.95,888.8478600000001,26.0161,986.9877
1993,18000.0,13184.0,253.4,2580.7,0.3476764705882353,689.84334,19.555619999999998,34.26082,1338.1111,1285.5351,35.116800000000005,5252.606216666667,3521.27,477.4317,0.0,11.083083333333333,,,46.77322857142857,53.06211666666667,527.9158199999999,-169.917,523.5343399999999,100.23175714285715,51.5508,994.0951799999999,51287.1809,0.0958,320.60816666666665,1.0055166666666666,13.300000000000002,888.8478600000001,28.24945,1012.2615000000002
